Theme;Numero Controleur;Index;Groupe;Repere;Libelle;Type
Output_TOR;0;2;2;%Q6.2;Canter sélection vitesse 1;Bool
Output_TOR;0;3;2;%Q6.3;Canter sélection vitesse 2;Bool
Output_TOR;0;4;2;%Q6.4;Bati guide Entrainement validation;Bool
Output_TOR;0;5;2;%Q6.5;Graissage;Bool
Output_TOR;0;6;2;%Q6.6;Portique variateurs validation;Bool
Output_TOR;0;7;2;%Q6.7;Bati guide Entrainement validation marche arrière;Bool
Output_TOR;0;0;2;%Q7.0;Validation frein Pince Arrière;Bool
Output_TOR;0;1;2;%Q7.1;Table Entrée: Montée index chargement quais analyse pour retenir le bois;Bool
Output_TOR;0;2;2;%Q7.2;Marche avant Variateur Griffe arrière Portique ;Bool
Output_TOR;0;3;2;%Q7.3;Table Entrée Griffe Analyse avant: Sortie;Bool
Output_TOR;0;4;2;%Q7.4;Table Entrée Griffe Analyse avant: Rentrée;Bool
Output_TOR;0;5;2;%Q7.5;Reset défaut Variateur Griffe arrière Portique;Bool
Output_TOR;0;6;2;%Q7.6;Table Entrée Rouleau soutien: Montée;Bool
Output_TOR;0;7;2;%Q7.7;Spike Roll Canter : fermeture;Bool
Output_TOR;0;0;3;%Q8.0;Marche arrière Variateur Griffe arrière Portique;Bool
Output_TOR;0;1;3;%Q8.1;Rouleaux Sortie 1: marche;Bool
Output_TOR;0;2;3;%Q8.2;Ejection Sortie 1: Gauche;Bool
Output_TOR;0;3;3;%Q8.3;Ejection Sortie 1: Droite;Bool
Output_TOR;0;4;3;%Q8.4;Ejection Sortie 1: GV;Bool
Output_TOR;0;5;3;%Q8.5;Ejection Sortie 1: montée butée;Bool
Output_TOR;0;6;3;%Q8.6;;Bool
Output_TOR;0;7;3;%Q8.7;Ejection Sortie 2: GV;Bool
Output_TOR;0;0;3;%Q9.0;Rouleaux Sortie 2: marche;Bool
Output_TOR;0;1;3;%Q9.1;Ejection Sortie 2: Gauche;Bool
Output_TOR;0;2;3;%Q9.2;Ejection Sortie 2: Droite;Bool
Output_TOR;0;3;3;%Q9.3;Ejection Sortie 2: GV;Bool
Output_TOR;0;4;3;%Q9.4;Demande bois 1/2 lune client;Bool
Output_TOR;0;5;3;%Q9.5;Transfert sortie 2 : marche;Bool
Output_TOR;0;6;3;%Q9.6;Demande mise en marche centrale client;Bool
Output_TOR;0;7;3;%Q9.7;Information recul CV entrée;Bool
Output_TOR;1;0;4;%Q0.0;Cycle automatique TTW en marche (Voyant);Bool
Output_TOR;1;1;4;%Q0.1;Cycle automatique TTW en interruption (Voyant);Bool
Output_TOR;1;2;4;%Q0.2;Défaut (Voyant);Bool
Output_TOR;1;3;4;%Q0.3;;Bool
Output_TOR;1;4;4;%Q0.4;;Bool
Output_TOR;1;5;4;%Q0.5;;Bool
Output_TOR;1;6;4;%Q0.6;Attente 1 (Voyant);Bool
Output_TOR;1;7;4;%Q0.7;Attente 2 (Voyant);Bool
Output_TOR;1;0;4;%Q1.0;Attente 3 (Voyant);Bool
Output_TOR;1;1;4;%Q1.1;Mécanisation de sortie en marche (Voyant);Bool
Output_TOR;1;0;5;%Q4.0;;Bool
Output_TOR;1;1;5;%Q4.1;Bouton noyau mauvaise qualité (Voyant);Bool
Output_TOR;1;2;5;%Q4.2;Mécanisation entrée en marche (Voyant);Bool
Output_TOR;1;3;5;%Q4.3;;Bool
Output_TOR;1;4;5;%Q4.4;Attente 4 (Voyant);Bool
Output_TOR;1;5;5;%Q4.5;Attente 5 (Voyant);Bool
Output_TOR;1;6;5;%Q4.6;Attente 6 (Voyant);Bool
Output_TOR;1;7;5;%Q4.7;;Bool
Output_TOR;1;0;5;%Q5.0;;Bool
Output_TOR;1;1;5;%Q5.1;;Bool
Output_TOR;1;2;5;%Q5.2;;Bool
Output_TOR;1;3;5;%Q5.3;;Bool
Output_TOR;1;4;5;%Q5.4;;Bool
Output_TOR;1;5;5;%Q5.5;;Bool
Output_TOR;1;6;5;%Q5.6;;Bool
Output_TOR;1;7;5;%Q5.7;;Bool
Output_TOR;2;0;6;%Q0.0;;Bool
Output_TOR;2;1;6;%Q0.1;;Bool
Output_TOR;2;2;6;%Q0.2;;Bool
Output_TOR;2;3;6;%Q0.3;;Bool
Output_TOR;2;4;6;%Q0.4;;Bool
Output_TOR;2;5;6;%Q0.5;;Bool
Output_TOR;2;6;6;%Q0.6;;Bool
Output_TOR;2;7;6;%Q0.7;;Bool
Output_TOR;2;0;6;%Q1.0;;Bool
Output_TOR;2;1;6;%Q1.1;;Bool
Output_TOR;2;0;7;%Q4.0;Soufflettes;Bool
Output_TOR;2;1;7;%Q4.1;Pulvérisation lames batis;Bool
Output_TOR;2;2;7;%Q4.2;;Bool
Output_TOR;2;3;7;%Q4.3;;Bool
Output_TOR;2;4;7;%Q4.4;;Bool
Output_TOR;2;5;7;%Q4.5;;Bool
Output_TOR;2;6;7;%Q4.6;;Bool
Output_TOR;2;7;7;%Q4.7;;Bool
Output_TOR;2;0;7;%Q5.0;;Bool
Output_TOR;2;1;7;%Q5.1;;Bool
Output_TOR;2;2;7;%Q5.2;;Bool
Output_TOR;2;3;7;%Q5.3;;Bool
Output_TOR;2;4;7;%Q5.4;;Bool
Output_TOR;2;5;7;%Q5.5;;Bool
Output_TOR;2;6;7;%Q5.6;;Bool
Output_TOR;2;7;7;%Q5.7;;Bool
Output_TOR;3;0;8;%Q0.0;Table Entrée Griffe Analyse arrière: Sortie;Bool
Output_TOR;3;1;8;%Q0.1;Table Entrée Griffe Analyse arrière: Rentrée;Bool
Output_TOR;3;2;8;%Q0.2;Table Entrée: montée index chargement quais analyse pour retenir le bois;Bool
Output_TOR;3;3;8;%Q0.3;;Bool
Output_TOR;3;4;8;%Q0.4;;Bool
Output_TOR;3;5;8;%Q0.5;;Bool
Output_TOR;3;6;8;%Q0.6;;Bool
Output_TOR;3;7;8;%Q0.7;;Bool
Output_TOR;3;0;8;%Q1.0;;Bool
Output_TOR;3;1;8;%Q1.1;;Bool
;;;;;;
Input_ANA;0;0;0;%IW0;;Int32
Input_ANA;0;1;0;%IW1;;Int32
Input_ANA;0;2;0;%IW2;;Int32
Input_ANA;0;3;0;%IW3;;Int32
Input_ANA;0;4;0;%IW4;Convoyeur Entrée: Mesure hauteur grume;Int32
Input_ANA;0;5;0;%IW5;Température huile Centrale hydraulique;Int32
Input_ANA;0;6;0;%IW6;Pression huile Centrale hydraulique;Int32
Input_ANA;0;7;0;%IW7;Table Entrée Analyse Quai Arrière: Grume griffée;Int32
Input_ANA;0;8;0;%IW8;Niveau huile Centrale hydraulique;Int32
Input_ANA;0;9;0;%IW9;;Int32
Input_ANA;0;10;0;%IW10;;Int32
Input_ANA;0;11;0;%IW11;;Int32
Input_ANA;2;0;1;%IW0;;Int32
Input_ANA;2;1;1;%IW1;;Int32
Input_ANA;2;2;1;%IW2;;Int32
Input_ANA;2;3;1;%IW3;Déviation lame Batis gauche;Int32
Input_ANA;2;4;1;%IW4;Déviation lame Batis droit;Int32
;;;;;;
Output_ANA;0;0;0;%QW0;;Int32
Output_ANA;0;1;0;%QW1;;Int32
Output_ANA;0;2;0;%QW2;;Int32
Output_ANA;0;3;0;%QW3;;Int32
Output_ANA;0;4;0;%QW4;;Int32
Output_ANA;0;5;0;%QW5;;Int32
Output_ANA;0;6;0;%QW6;Entrainement guides Batis;Int32
Output_ANA;0;7;0;%QW7;Table entrée: Quai sciage avant horizontal;Int32
Output_ANA;0;8;0;%QW8;Table entrée: Quai analyse avant vertical;Int32
Output_ANA;0;9;0;%QW9;Table entrée: Quai sciage avant vertical;Int32
Output_ANA;2;0;1;%QW0;;Int32
Output_ANA;2;1;1;%QW1;;Int32
Output_ANA;2;2;1;%QW2;;Int32
Output_ANA;2;3;1;%QW3;Déplacement bati gauche;Int32
Output_ANA;2;4;1;%QW4;Déplacement bati droit;Int32
Output_ANA;2;5;1;%QW5;Déplacement Guide gauche;Int32
Output_ANA;2;6;1;%QW6;Déplacement Guide droit;Int32
Output_ANA;2;7;1;%QW7;Déplacement Canter gauche;Int32
Output_ANA;2;8;1;%QW8;Déplacement Canter droit;Int32
Output_ANA;2;9;1;%QW9;;Int32
Output_ANA;2;10;1;%QW10;;Int32
Output_ANA;3;0;2;%QW0;;Int32
Output_ANA;3;1;2;%QW1;;Int32
Output_ANA;3;2;2;%QW2;;Int32
Output_ANA;3;3;2;%QW3;;Int32
Output_ANA;3;4;2;%QW4;;Int32
Output_ANA;3;5;2;%QW5;Table entrée: Quai analyse arrière vertical;Int32
Output_ANA;3;6;2;%QW6;Table entrée: Quai sciage arrière vertical;Int32
Output_ANA;3;7;2;%QW7;Table entrée: Quai sciage arrière horizontal;Int32
Output_ANA;3;8;2;%QW8;;Int32
;;;;;;
AxeHydraulique;0;0;0;Quai de sciage avant horizontal;Etats;Bools
AxeHydraulique;0;1;0;Quai de sciage avant horizontal;Position;Int32
AxeHydraulique;0;2;0;Quai de sciage avant horizontal;Vitesse;Int32
AxeHydraulique;0;0;1;Quai d'analyse avant vertical;Etats;Bools
AxeHydraulique;0;1;1;Quai d'analyse avant vertical;Position;Int32
AxeHydraulique;0;2;1;Quai d'analyse avant vertical;Vitesse;Int32
AxeHydraulique;0;0;2;Quai de sciage avant vertical;Etats;Bools
AxeHydraulique;0;1;2;Quai de sciage avant vertical;Position;Int32
AxeHydraulique;0;2;2;Quai de sciage avant vertical;Vitesse;Int32
AxeHydraulique;2;0;3;Quai de sciage arrière horizontal;Etats;Bools
AxeHydraulique;2;1;3;Quai de sciage arrière horizontal;Position;Int32
AxeHydraulique;2;2;3;Quai de sciage arrière horizontal;Vitesse;Int32
AxeHydraulique;2;0;4;Quai analyse arrière vertical;Etats;Bools
AxeHydraulique;2;1;4;Quai analyse arrière vertical;Position;Int32
AxeHydraulique;2;2;4;Quai analyse arrière vertical;Vitesse;Int32
AxeHydraulique;2;0;5;Quai de sciage arrière vertical;Etats;Bools
AxeHydraulique;2;1;5;Quai de sciage arrière vertical;Position;Int32
AxeHydraulique;2;2;5;Quai de sciage arrière vertical;Vitesse;Int32
AxeHydraulique;3;0;6;Bati gauche;Etats;Bools
AxeHydraulique;3;1;6;Bati gauche;Position;Int32
AxeHydraulique;3;2;6;Bati gauche;Vitesse;Int32
AxeHydraulique;3;0;7;Bati droit;Etats;Bools
AxeHydraulique;3;1;7;Bati droit;Position;Int32
AxeHydraulique;3;2;7;Bati droit;Vitesse;Int32
AxeHydraulique;3;0;8;Canter gauche;Etats;Bools
AxeHydraulique;3;1;8;Canter gauche;Position;Int32
AxeHydraulique;3;2;8;Canter gauche;Vitesse;Int32
AxeHydraulique;3;0;9;Canter droit;Etats;Bools
AxeHydraulique;3;1;9;Canter droit;Position;Int32
AxeHydraulique;3;2;9;Canter droit;Vitesse;Int32
AxeHydraulique;3;0;10;Guide gauche;Etats;Bools
AxeHydraulique;3;1;10;Guide gauche;Position;Int32
AxeHydraulique;3;2;10;Guide gauche;Vitesse;Int32
AxeHydraulique;3;0;11;Guide droit;Etats;Bools
AxeHydraulique;3;1;11;Guide droit;Position;Int32
AxeHydraulique;3;2;11;Guide droit;Vitesse;Int32
;;;;;;
AxePosition;0;0;0;Griffe avant portique sciage;Etats1;Bools
AxePosition;0;1;0;Griffe avant portique sciage;Etats2;Bools
AxePosition;0;2;0;Griffe avant portique sciage;Position;Real
AxePosition;0;3;0;Griffe avant portique sciage;Vitesse;Int32
AxePosition;0;0;1;Rotation griffe de sciage;Etats1;Bools
AxePosition;0;1;1;Rotation griffe de sciage;Etats2;Bools
AxePosition;0;2;1;Rotation griffe de sciage;Position;Real
AxePosition;0;3;1;Rotation griffe de sciage;Vitesse;Int32
